Id, IdMascota, Fecha de la visita, Descripción, Tratamiento
None,3,11-03-2023,Visita 1 Hugo está cansado y siempre se duerme,Hacer ejercicio con Hugo
None,4,14-05-2023,Visita 2 Pluto se muestra agresivo con los demás,Pastillas para calmarlo
None,1,05-11-2023,Visita 3 Coco está muy gordo y nos tiene preocupados,Adelgazamiento con pastillas
None,2,01-01-2024,Visita 4 Cada cosa que come Pipo la vomita,Pichazos para desparasitar
None,1,01-02-2024,Visita 5 Coco sigoue gordo,Revisión adelgazamiento
None,1,10-05-2024,Visita 6 Coco aún sigue gordo,Revisión adelgazamiento por segunda vez
None,4,11-06-2024,Visita 7 Pluto tiene que vacunarse ,Vacuna anual
None,4,18-08-2024,Visita 8 Pluto siempre está durmiendo ,Coprarle jueguetes y sacarlo a pasear
None,6,21-09-2024,Visita 9 Simba ladra mucho ,Ver agresividad
None,2,04-11-2024,Visita 10 Pipo ahora está cojeando,Radigrafía y reposo
None,4,07-09-2024,Visita 11 Está muy nervioso.,Vacuna anual
None,4,27-09-2023,Visita 12 Se muestra aislado,Ejercicios de socialización
None,9,05-05-2023,Visita 13 Rocky Always country year employee back page final.,Juguetes nuevos
None,1,26-11-2024,Visita 14 Hugo Tend different interest policy sometimes newspaper remember.,Pastillas calmantes
None,10,15-09-2023,Visita 15 Milo Pick hundred affect student south idea.,Vacuna anual
None,1,30-04-2023,Visita 16 Hugo Study fear decide practice crime who.,Adelgazamiento
None,2,09-10-2024,Visita 17 Pluto Leave contain interview half.,Radiografía
None,3,07-02-2023,Visita 18 Coco Visit each ground ask.,Desparasitación
None,10,24-09-2024,Visita 19 Milo Card worker site your tax.,Desparasitación
None,7,19-04-2023,Visita 20 Max Film agency away my trip national have discover.,Revisión general
None,9,02-10-2024,Visita 21 Rocky Dream anyone movie always let specific old.,Juguetes nuevos
None,8,06-12-2022,Visita 22 Bella Wrong summer offer light.,Pastillas calmantes
None,1,13-11-2023,Visita 23 Hugo Tv fact beat final matter.,Ejercicios de socialización
None,3,02-11-2024,Visita 24 Coco Support exist over partner difficult together another.,Hacer ejercicio
None,7,17-12-2022,Visita 25 Max Reality according picture huge rule three director.,Desparasitación
None,8,25-12-2022,Visita 26 Bella Major fine attention similar between continue area.,Vacuna anual
None,5,11-09-2024,Visita 27 Simba Item program majority American.,Adelgazamiento
None,7,30-06-2024,Visita 28 Max Billion serious response home reflect bag paper.,Juguetes nuevos
None,7,18-07-2024,Visita 29 Max Discussion serve feel race.,Pastillas calmantes
None,10,09-07-2024,Visita 30 Milo Defense certain just good.,Cambio de dieta
None,10,21-07-2023,Visita 31 Milo Body hit kid campaign too environment spend.,Ejercicios de socialización
None,8,17-09-2024,Visita 32 Bella Budget skin heavy you.,Juguetes nuevos
None,1,16-07-2024,Visita 33 Hugo Mrs together result until hold green network standard.,Juguetes nuevos
None,4,16-11-2023,Visita 34 Pipo Worry door more professor that reality fish.,Revisión general
None,5,09-09-2024,Visita 35 Simba Billion yourself everybody.,Adelgazamiento
None,7,21-05-2023,Visita 36 Max But movie stop several cause.,Pastillas calmantes
None,6,19-02-2023,Visita 37 Luna Drive fear Mrs simply chance.,Desparasitación
None,9,28-10-2023,Visita 38 Rocky Use bring control practice drop less hair.,Hacer ejercicio
None,2,25-03-2024,Visita 39 Pluto Me catch someone country.,Revisión general
None,6,30-01-2024,Visita 40 Luna Story movement citizen health recognize lot.,Revisión general
None,5,15-09-2024,Visita 41 Simba Nice mouth wish only skin memory.,Radiografía
None,9,23-11-2023,Visita 42 Rocky Huge knowledge above tell one spend.,Adelgazamiento
None,7,04-08-2023,Visita 43 Max Fight brother decade.,Radiografía
None,1,29-07-2024,Visita 44 Hugo Production smile bar fine.,Hacer ejercicio
None,3,23-02-2023,Visita 45 Coco Difficult in chance option.,Juguetes nuevos
None,10,19-04-2024,Visita 46 Milo Occur plant letter mouth.,Revisión general
None,2,30-10-2024,Visita 47 Pluto Peace view practice ago nice hand maybe.,Cambio de dieta
None,4,09-12-2022,Visita 48 Pipo Land outside single ground note.,Desparasitación
None,10,24-10-2023,Visita 49 Milo Staff stuff ok rule maybe.,Adelgazamiento
None,2,05-02-2023,Visita 50 Pluto Get family especially movement rest just since nature.,Pastillas calmantes
None,4,23-04-2024,Visita 51 Pipo Far too draw free air.,Juguetes nuevos
None,3,24-09-2023,Visita 52 Coco Source share not much him.,Juguetes nuevos
None,10,09-01-2023,Visita 53 Milo Market study decision change piece.,Hacer ejercicio
None,10,01-06-2024,Visita 54 Milo End capital once service different.,Desparasitación
None,1,24-10-2024,Visita 55 Hugo Upon system play cost admit Mrs few.,Revisión general
None,5,03-03-2024,Visita 56 Simba Main show assume should really best.,Radiografía
None,6,13-04-2024,Visita 57 Luna Reflect fine hospital past pattern fight artist.,Cambio de dieta
None,2,07-05-2024,Visita 58 Pluto Result also nearly dream hold change.,Pastillas calmantes
None,3,23-10-2024,Visita 59 Coco Alone boy senior matter age likely.,Radiografía
None,10,20-02-2024,Visita 60 Milo Certainly stay radio next pick.,Radiografía
